,Country/Region,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1
233,Cyprus,2020-01-23,0,0,0,0,0,0,0.06836577025798513
211,Brazil,2020-01-23,0,0,0,0,0,0,0.06836577025798513
235,Denmark,2020-01-23,0,0,0,0,0,0,0.06836577025798513
259,Guinea,2020-01-23,0,0,0,0,0,0,0.06836577025798513
260,Guinea-Bissau,2020-01-23,0,0,0,0,0,0,0.06836577025798513
261,Guyana,2020-01-23,0,0,0,0,0,0,0.06836577025798513
262,Haiti,2020-01-23,0,0,0,0,0,0,0.06836577025798513
263,Holy See,2020-01-23,0,0,0,0,0,0,0.06836577025798513
264,Honduras,2020-01-23,0,0,0,0,0,0,0.06836577025798513
265,Hungary,2020-01-23,0,0,0,0,0,0,0.06836577025798513
266,Iceland,2020-01-23,0,0,0,0,0,0,0.06836577025798513
267,India,2020-01-23,0,0,0,0,0,0,0.06836577025798513
258,Guatemala,2020-01-23,0,0,0,0,0,0,0.06836577025798513
268,Indonesia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
270,Iraq,2020-01-23,0,0,0,0,0,0,0.06836577025798513
271,Ireland,2020-01-23,0,0,0,0,0,0,0.06836577025798513
272,Israel,2020-01-23,0,0,0,0,0,0,0.06836577025798513
273,Italy,2020-01-23,0,0,0,0,0,0,0.06836577025798513
274,Jamaica,2020-01-23,0,0,0,0,0,0,0.06836577025798513
275,Japan,2020-01-23,2,0,0,2,0,0,0.06836577025798513
276,Jordan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
277,Kazakhstan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
278,Kenya,2020-01-23,0,0,0,0,0,0,0.06836577025798513
269,Iran,2020-01-23,0,0,0,0,0,0,0.06836577025798513
257,Grenada,2020-01-23,0,0,0,0,0,0,0.06836577025798513
279,Korea South,2020-01-23,1,0,0,1,0,0,0.06836577025798513
241,Egypt,2020-01-23,0,0,0,0,0,0,0.06836577025798513
236,Diamond Princess,2020-01-23,0,0,0,0,0,0,0.06836577025798513
237,Djibouti,2020-01-23,0,0,0,0,0,0,0.06836577025798513
238,Dominica,2020-01-23,0,0,0,0,0,0,0.06836577025798513
239,Dominican Republic,2020-01-23,0,0,0,0,0,0,0.06836577025798513
240,Ecuador,2020-01-23,0,0,0,0,0,0,0.06836577025798513
256,Greece,2020-01-23,0,0,0,0,0,0,0.06836577025798513
242,El Salvador,2020-01-23,0,0,0,0,0,0,0.06836577025798513
243,Equatorial Guinea,2020-01-23,0,0,0,0,0,0,0.06836577025798513
244,Eritrea,2020-01-23,0,0,0,0,0,0,0.06836577025798513
245,Estonia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
247,Ethiopia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
248,Fiji,2020-01-23,0,0,0,0,0,0,0.06836577025798513
249,Finland,2020-01-23,0,0,0,0,0,0,0.06836577025798513
250,France,2020-01-23,0,0,0,0,0,0,0.06836577025798513
251,Gabon,2020-01-23,0,0,0,0,0,0,0.06836577025798513
252,Gambia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
253,Georgia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
254,Germany,2020-01-23,0,0,0,0,0,0,0.06836577025798513
255,Ghana,2020-01-23,0,0,0,0,0,0,0.06836577025798513
246,Eswatini,2020-01-23,0,0,0,0,0,0,0.06836577025798513
502,Nigeria,2020-01-24,0,0,0,0,0,0,0.06836577025798513
503,North Macedonia,2020-01-24,0,0,0,0,0,0,0.06836577025798513
501,Niger,2020-01-24,0,0,0,0,0,0,0.06836577025798513
516,Russia,2020-01-24,0,0,0,0,0,0,0.06836577025798513
499,New Zealand,2020-01-24,0,0,0,0,0,0,0.06836577025798513
498,Netherlands,2020-01-24,0,0,0,0,0,0,0.06836577025798513
497,Nepal,2020-01-24,0,0,0,0,0,0,0.06836577025798513
504,Norway,2020-01-24,0,0,0,0,0,0,0.06836577025798513
